"sample" "group" "methylation"
"AA_F00_1" "AA_F00_1" "AA_F00" 41.0950164922858
"AA_F00_2" "AA_F00_2" "AA_F00" 41.6180447619492
"AA_F00_3" "AA_F00_3" "AA_F00" 41.5026199550037
"AA_F00_4" "AA_F00_4" "AA_F00" 40.8357630288559
"AA_F25_1" "AA_F25_1" "AA_F25" 36.3043983209157
"AA_F25_2" "AA_F25_2" "AA_F25" 38.3719577573633
"AA_F25_3" "AA_F25_3" "AA_F25" 39.927340051034
"AA_F25_4" "AA_F25_4" "AA_F25" 40.7310045832211
"AH_F25_1" "AH_F25_1" "AH_F25" 38.2574046804407
"AH_F25_2" "AH_F25_2" "AH_F25" 36.0299964533458
"AH_F25_3" "AH_F25_3" "AH_F25" 38.1935554226313
"AH_F25_4" "AH_F25_4" "AH_F25" 39.5706855995395
"HA_F25_1" "HA_F25_1" "HA_F25" 39.1356810251327
"HA_F25_2" "HA_F25_2" "HA_F25" 40.8781822231677
"HA_F25_3" "HA_F25_3" "HA_F25" 38.4626579290611
"HA_F25_4" "HA_F25_4" "HA_F25" 38.7810787806096
"HH_F25_1" "HH_F25_1" "HH_F25" 37.5960170414044
"HH_F25_2" "HH_F25_2" "HH_F25" 38.2630662975854
"HH_F25_3" "HH_F25_3" "HH_F25" 38.4289951833391
"HH_F25_4" "HH_F25_4" "HH_F25" 39.2010144133896
